row_id,date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,dateChecked,death,hospitalized,totalTestResults,lastModified,recovered,total,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,totalTestResultsIncrease,hash
38,20201209,56,15390423.0,52318403.0,13186.0,106671.0,496791.0,20903.0,32720.0,7621.0,3376.0,2020-12-09T24:00:00Z,281164.0,496791.0,214531965,2020-12-09T24:00:00Z,,0,0,3169,5300,378319,1832545,dec935f236543cd31549e725e06a2794c7714de0
39,20201210,56,15611269.0,52629992.0,12409.0,107300.0,501241.0,21024.0,32919.0,7444.0,3394.0,2020-12-10T24:00:00Z,284296.0,501241.0,216499543,2020-12-10T24:00:00Z,,0,0,3132,4450,311589,1967578,43e452017b944386938ec97556d206d033276015
40,20201211,56,15848202.0,52980433.0,13421.0,108101.0,506652.0,21012.0,33237.0,7488.0,3424.0,2020-12-11T24:00:00Z,287043.0,506652.0,218469052,2020-12-11T24:00:00Z,,0,0,2747,5411,350441,1969509,b04ff95fcd06addaa0f6ddcba59a94825c5e9f1a
41,20201212,56,16075106.0,53206636.0,11345.0,108461.0,510441.0,21198.0,33419.0,7515.0,3430.0,2020-12-12T24:00:00Z,289540.0,510441.0,220388948,2020-12-12T24:00:00Z,,0,0,2497,3789,226203,1919896,70c91ccacfc569cdbd8582e832ec0f77a50d4371
42,20201213,56,16262357.0,53506446.0,11382.0,109298.0,512755.0,21230.0,33494.0,7535.0,3432.0,2020-12-13T24:00:00Z,291041.0,512755.0,222216258,2020-12-13T24:00:00Z,,0,0,1501,2314,299810,1827310,322713c10f5e885956b0e9736fa792a55c546a72
43,20201214,56,16455643.0,53962524.0,11448.0,110573.0,516216.0,21458.0,33693.0,7699.0,3442.0,2020-12-14T24:00:00Z,292398.0,516216.0,224227209,2020-12-14T24:00:00Z,,0,0,1357,3461,456078,2010951,82b06d9c633de0ef58a3596bf3158c6ea2f8639c
44,20201215,56,16648861.0,54279236.0,9693.0,112816.0,520646.0,21897.0,33958.0,7702.0,3460.0,2020-12-15T24:00:00Z,295322.0,520646.0,226060347,2020-12-15T24:00:00Z,,0,0,2924,4430,316712,1833138,e0eaca65c5bb6e7a7e99cd9e2d97dc0a89251435
45,20201216,56,16883149.0,54583082.0,12843.0,113257.0,525422.0,21943.0,34237.0,7782.0,3488.0,2020-12-16T24:00:00Z,298775.0,525422.0,227900343,2020-12-16T24:00:00Z,,0,0,3453,4776,303846,1839996,7fa8571f82eb8dbe23629a5c5624e26ea1bc2867
46,20201217,56,17126119.0,54829514.0,13003.0,114492.0,530589.0,21912.0,34485.0,7848.0,3504.0,2020-12-17T24:00:00Z,302240.0,530589.0,229813040,2020-12-17T24:00:00Z,,0,0,3465,5167,246432,1912697,9d1daf6b4945d33b62d036344825da32d1c8d4db
47,20201218,56,17367905.0,55280309.0,13454.0,113955.0,535803.0,21745.0,34716.0,7786.0,3519.0,2020-12-18T24:00:00Z,305106.0,535803.0,232006506,2020-12-18T24:00:00Z,,0,0,2866,5214,450795,2193466,14206a45d17c0ebf5b2db4f29235c8b255590857
48,20201219,56,17572778.0,55481072.0,12420.0,113914.0,539232.0,21692.0,34949.0,7786.0,3529.0,2020-12-19T24:00:00Z,307814.0,539232.0,233866045,2020-12-19T24:00:00Z,,0,0,2708,3429,200763,1859539,047a8b64ac5b7719d46e7d82abd5a2bcd5c0211d
49,20201220,56,17770272.0,55730338.0,12410.0,113601.0,541614.0,21763.0,35030.0,7695.0,3530.0,2020-12-20T24:00:00Z,309482.0,541614.0,235687674,2020-12-20T24:00:00Z,,0,0,1668,2382,249266,1821629,c49ecbab3e4aa3c20a7afcd99c35b561ac09a331
50,20201221,56,17949678.0,56170134.0,12425.0,115358.0,544725.0,21884.0,35178.0,7783.0,3539.0,2020-12-21T24:00:00Z,310962.0,544725.0,237662264,2020-12-21T24:00:00Z,,0,0,1480,3111,439796,1974590,714f8224c880b41217c2de98ebcf093ace15be56
51,20201222,56,18142686.0,56438180.0,9934.0,117777.0,549292.0,22213.0,35428.0,7830.0,3554.0,2020-12-22T24:00:00Z,314099.0,549292.0,239432397,2020-12-22T24:00:00Z,,0,0,3137,4567,268046,1770133,5b6b41dfb20daa59ceb73823074eb15004c2663a
52,20201223,56,18367212.0,56743142.0,13784.0,119463.0,554087.0,22489.0,35695.0,7819.0,3579.0,2020-12-23T24:00:00Z,317492.0,554087.0,241223878,2020-12-23T24:00:00Z,,0,0,3393,4795,304962,1791481,7d7be5c7af716807b2a5cf6af6340d77c50a2f57
53,20201224,56,18573896.0,57065259.0,14410.0,120200.0,558376.0,22623.0,35899.0,7792.0,3587.0,2020-12-24T24:00:00Z,320450.0,558376.0,243255772,2020-12-24T24:00:00Z,,0,0,2958,4289,322117,2031894,d0910e80c9a5375fafacdd471012847ce2f8724f
54,20201225,56,18700692.0,57235949.0,10214.0,118948.0,560423.0,22418.0,35945.0,7831.0,3592.0,2020-12-25T24:00:00Z,322003.0,560423.0,244823812,2020-12-25T24:00:00Z,,0,0,1553,2047,170690,1568040,0f051125d8d087b7d16ff389091232fd325c3d12
55,20201226,56,18891286.0,57450504.0,10229.0,117344.0,562715.0,22373.0,36038.0,7809.0,3593.0,2020-12-26T24:00:00Z,323429.0,562715.0,246798110,2020-12-26T24:00:00Z,,0,0,1426,2292,214555,1974298,01109e24d18c9914d7209c6f42f6a6d3e793b019
56,20201227,56,19044826.0,57654792.0,10280.0,118720.0,565017.0,22447.0,36164.0,7878.0,3604.0,2020-12-27T24:00:00Z,324826.0,565017.0,248193350,2020-12-27T24:00:00Z,,0,0,1397,2302,204288,1395240,b3d199ee2f4ed59fa488cb97b2d300a6366a4b63
57,20201228,56,19208953.0,57964513.0,10365.0,121202.0,568740.0,22579.0,36308.0,7948.0,3612.0,2020-12-28T24:00:00Z,326316.0,568740.0,249525472,2020-12-28T24:00:00Z,,0,0,1490,3723,309721,1332122,d081afdb641baa8c5081b052abaa2f981835b3cd
58,20201229,56,19408632.0,58166211.0,9939.0,124686.0,574001.0,22838.0,36583.0,7885.0,3635.0,2020-12-29T24:00:00Z,329605.0,574001.0,250868986,2020-12-29T24:00:00Z,,0,0,3289,5261,201698,1343514,f2b3d4a165d2bce2705b98a772bb8a1aeaa6edf3
59,20201230,56,19638128.0,58381318.0,14200.0,125220.0,579515.0,23069.0,36855.0,7930.0,3653.0,2020-12-30T24:00:00Z,333505.0,579515.0,252452699,2020-12-30T24:00:00Z,,0,0,3900,5514,215107,1583713,d55afa7354a34a5d7351cd334c201b1329c5d753
60,20201231,56,19864374.0,58644173.0,14931.0,125423.0,583863.0,23097.0,37066.0,8004.0,3672.0,2020-12-31T24:00:00Z,336802.0,583863.0,254249919,2020-12-31T24:00:00Z,,0,0,3297,4348,262855,1797220,febd6590bd09d2e0ff39e0772a8953caa4106224
61,20210101,56,20047280.0,58836221.0,11506.0,125047.0,588413.0,23255.0,37196.0,7990.0,3681.0,2021-01-01T24:00:00Z,339394.0,588413.0,255795456,2021-01-01T24:00:00Z,,0,0,2592,4550,192048,1545537,9994a6eaa4e8fd91674c5ec8f74b237be23fd8ce
62,20210102,56,20327598.0,59058013.0,9356.0,123614.0,591464.0,23133.0,37309.0,7910.0,3684.0,2021-01-02T24:00:00Z,341800.0,591464.0,257729806,2021-01-02T24:00:00Z,,0,0,2406,3051,221792,1934350,1cae9503112548803a332efdf3e3caaeee904141
63,20210103,56,20536055.0,59273596.0,9407.0,125562.0,593690.0,23243.0,37433.0,7939.0,3688.0,2021-01-03T24:00:00Z,343255.0,593690.0,259174063,2021-01-03T24:00:00Z,,0,0,1455,2226,215583,1444257,a7e7dcfaf216b997aa301630cdb3ab1ad9b4382f
64,20210104,56,20715626.0,59422210.0,9463.0,128210.0,597582.0,23435.0,37586.0,7930.0,3692.0,2021-01-04T24:00:00Z,344802.0,597582.0,260686674,2021-01-04T24:00:00Z,,0,0,1547,3892,148614,1512611,35eeaeb8a3db8e46a289a54bc7b08e3c14fc90c7
65,20210105,56,20934701.0,59902466.0,8008.0,131195.0,601872.0,23509.0,37841.0,7976.0,3718.0,2021-01-05T24:00:00Z,348286.0,601872.0,262407681,2021-01-05T24:00:00Z,,0,0,3484,4290,480256,1721007,589a85913c25309b31dbd8635ff14059b3eb6473
66,20210106,56,21184885.0,60165554.0,10062.0,132474.0,608479.0,23708.0,38064.0,7946.0,3739.0,2021-01-06T24:00:00Z,352188.0,608479.0,264058174,2021-01-06T24:00:00Z,,0,0,3902,6607,263088,1650493,2d62aa82b972b446848804e4ae2fa5ea5338d430
67,20210107,56,21456928.0,60412132.0,11612.0,132370.0,613791.0,23821.0,38236.0,7900.0,3748.0,2021-01-07T24:00:00Z,356267.0,613791.0,265986436,2021-01-07T24:00:00Z,,0,0,4079,5312,246578,1928262,91f84c1dd65e0cb375e7bd4560805e810a071942
68,20210108,56,21752049.0,60732416.0,11633.0,131921.0,618496.0,23912.0,38432.0,7908.0,3756.0,2021-01-08T24:00:00Z,360047.0,618496.0,268132659,2021-01-08T24:00:00Z,,0,0,3780,4705,320284,2146223,627026ea4e8920a0200db4738f162eb161b8b6d1
69,20210109,56,22021417.0,61022599.0,10850.0,130781.0,625179.0,23718.0,38607.0,7791.0,3767.0,2021-01-09T24:00:00Z,363584.0,625179.0,270270359,2021-01-09T24:00:00Z,,0,0,3537,6683,290183,2137700,49df0480c84e8cf8031e9daf58f6228759e6985f
70,20210110,56,22250149.0,61292981.0,10957.0,129223.0,627592.0,23640.0,38706.0,7878.0,3771.0,2021-01-10T24:00:00Z,365652.0,627592.0,272322020,2021-01-10T24:00:00Z,,0,0,2068,2413,270382,2051661,7cccf18801ff31632d640e53a26af5f7e254c2d2
71,20210111,56,22445404.0,61503591.0,11039.0,129793.0,630637.0,23501.0,38823.0,7786.0,3773.0,2021-01-11T24:00:00Z,367385.0,630637.0,274017787,2021-01-11T24:00:00Z,,0,0,1733,3045,210610,1695767,22c31c3ff9a1bd641b214b6d5205f3511257e78b
72,20210112,56,22663424.0,61947584.0,9181.0,131326.0,635294.0,23881.0,39049.0,7879.0,3796.0,2021-01-12T24:00:00Z,371449.0,635294.0,275962021,2021-01-12T24:00:00Z,,0,0,4064,4657,443993,1944234,bf3972ee2333e0ff7bcf5a540e6b1a0d1e441b24
73,20210113,56,22887915.0,62185469.0,10942.0,130391.0,640606.0,23857.0,39248.0,7902.0,3811.0,2021-01-13T24:00:00Z,375536.0,640606.0,277789417,2021-01-13T24:00:00Z,,0,0,4087,5312,237885,1827396,6c0eec149b4b4748b89cd27ff01076f0e2119710
74,20210114,56,23113531.0,62491363.0,12138.0,128947.0,644398.0,23891.0,39418.0,7878.0,3829.0,2021-01-14T24:00:00Z,379451.0,644398.0,279838316,2021-01-14T24:00:00Z,,0,0,3915,3792,305894,2048899,2750d68904863f78abbb73c734ac405cfceecf81
75,20210115,56,23359985.0,62902360.0,11948.0,127235.0,648398.0,23593.0,39626.0,7772.0,3845.0,2021-01-15T24:00:00Z,383130.0,648398.0,282148200,2021-01-15T24:00:00Z,,0,0,3679,4000,410997,2309884,aebb983bfe704ed005f908899e42a3df7051bd76
76,20210116,56,23578070.0,63128702.0,11334.0,126139.0,652437.0,23524.0,39797.0,7755.0,3858.0,2021-01-16T24:00:00Z,386839.0,652437.0,284264424,2021-01-16T24:00:00Z,,0,0,3709,4039,226342,2116224,8bd15f2d04c47a37855909d9cbddfe1268db349f
77,20210117,56,23765288.0,63406544.0,11404.0,124387.0,654604.0,23432.0,39864.0,7797.0,3860.0,2021-01-17T24:00:00Z,388892.0,654604.0,286181180,2021-01-17T24:00:00Z,,0,0,2053,2167,277842,1916756,1aef54cdc324f99322ee4f9bc4a5fdee7543bdc8
78,20210118,56,23916080.0,63599369.0,11477.0,123848.0,657443.0,23226.0,39973.0,7772.0,3865.0,2021-01-18T24:00:00Z,390287.0,657443.0,287952448,2021-01-18T24:00:00Z,,0,0,1395,2839,192825,1771268,d9e4af585fc4167d1e9628e25d97a7c6e4a40e99
79,20210119,56,24062706.0,63929216.0,11503.0,123910.0,660649.0,23054.0,40103.0,7688.0,3883.0,2021-01-19T24:00:00Z,392428.0,660649.0,289549311,2021-01-19T24:00:00Z,,0,0,2141,3206,329847,1596863,11b510b66d6edce36bf0aed51c3e8296ce47c277
80,20210120,56,24251909.0,64271666.0,10529.0,122754.0,665754.0,22834.0,40340.0,7564.0,3897.0,2021-01-20T24:00:00Z,396837.0,665754.0,291400661,2021-01-20T24:00:00Z,,0,0,4409,5105,342450,1851350,819039596a7dcf8d78153d40208f57851b7db32e
81,20210121,56,24438184.0,64539361.0,10907.0,119949.0,669807.0,22309.0,40481.0,7370.0,3910.0,2021-01-21T24:00:00Z,400715.0,669807.0,293334343,2021-01-21T24:00:00Z,,0,0,3878,4053,267695,1933682,21696545a9eca409a45f2f497e0fa38ebd1a25eb
82,20210122,56,24629099.0,64823753.0,11247.0,116264.0,674132.0,22008.0,40687.0,7236.0,3919.0,2021-01-22T24:00:00Z,404695.0,674132.0,295356371,2021-01-22T24:00:00Z,,0,0,3980,4325,284392,2022028,06962832ce32532fd5ccd76cf9eba51fd11b14bd
83,20210123,56,24806217.0,65098300.0,10864.0,113609.0,680784.0,21657.0,40853.0,7110.0,3941.0,2021-01-23T24:00:00Z,408286.0,680784.0,297346443,2021-01-23T24:00:00Z,,0,0,3591,6652,274547,1990072,47dfa961be79d64fc93c624aa8c30a8878559c1b
84,20210124,56,24950451.0,65321747.0,10892.0,110628.0,682693.0,21168.0,40931.0,6989.0,3943.0,2021-01-24T24:00:00Z,410230.0,682693.0,299139335,2021-01-24T24:00:00Z,,0,0,1944,1909,223447,1792892,bf79335a1227f60427950055b55519be2388b3a1
85,20210125,56,25083905.0,65538753.0,10963.0,109938.0,685208.0,20875.0,41028.0,6857.0,3949.0,2021-01-25T24:00:00Z,411823.0,685208.0,300769726,2021-01-25T24:00:00Z,,0,0,1593,2515,217006,1630391,e0c576faf112999072321cd7dc6265864792ee4b
86,20210126,56,25230353.0,65916203.0,9879.0,108960.0,688913.0,20573.0,41205.0,6832.0,3976.0,2021-01-26T24:00:00Z,415557.0,688913.0,302503525,2021-01-26T24:00:00Z,,0,0,3734,3705,377450,1733799,a62a2e827836c0c936484465ac931304c5334111
87,20210127,56,25384338.0,66160756.0,11972.0,107444.0,693047.0,20497.0,41402.0,6806.0,3985.0,2021-01-27T24:00:00Z,419634.0,693047.0,304129918,2021-01-27T24:00:00Z,,0,0,4077,4134,244553,1626393,5f21e4490e738297c35e1a4a132c07f890e1dfc1
88,20210128,56,25541644.0,66430423.0,12095.0,104303.0,696547.0,20113.0,41588.0,6642.0,4000.0,2021-01-28T24:00:00Z,423645.0,696547.0,306066679,2021-01-28T24:00:00Z,,0,0,4011,3500,269667,1936761,8692445009bb33dee1d85bc95e95bfb8758d9979
89,20210129,56,25708755.0,66714591.0,12400.0,101003.0,699382.0,19609.0,41758.0,6483.0,4011.0,2021-01-29T24:00:00Z,427148.0,699382.0,308021780,2021-01-29T24:00:00Z,,0,0,3503,2835,284168,1955101,ab8a093eb80eaae01f1f86776a15028812b40e50
90,20210130,56,25857579.0,66946890.0,11986.0,97561.0,702529.0,19130.0,41872.0,6329.0,4016.0,2021-01-30T24:00:00Z,430130.0,702529.0,310161359,2021-01-30T24:00:00Z,,0,0,2982,3147,232299,2139579,7d92d3a85772369d403427a69e613db17892c4e0
91,20210131,56,25976946.0,67171483.0,12007.0,95013.0,704700.0,18968.0,41934.0,6291.0,4019.0,2021-01-31T24:00:00Z,432189.0,704700.0,311887083,2021-01-31T24:00:00Z,,0,0,2059,2171,224593,1725724,e4f76197700457237870b32c7da34314b97167f9
92,20210201,56,26097146.0,67516458.0,11957.0,93536.0,706466.0,18572.0,41998.0,6086.0,4025.0,2021-02-01T24:00:00Z,433751.0,706466.0,313394628,2021-02-01T24:00:00Z,,0,0,1562,1766,344975,1507545,1a664c2c2bd6239c309e1bf86249356944a10f45
93,20210202,56,26214762.0,67683540.0,10590.0,92880.0,709751.0,18388.0,42148.0,6047.0,4035.0,2021-02-02T24:00:00Z,437237.0,709751.0,314780223,2021-02-02T24:00:00Z,,0,0,3486,3285,167082,1385595,4a7ce3300dcac3facf61fc45c90dbccd0b062ed0
94,20210203,56,26331722.0,67908039.0,12077.0,91440.0,713726.0,18147.0,42323.0,5920.0,4044.0,2021-02-03T24:00:00Z,440922.0,713726.0,316165104,2021-02-03T24:00:00Z,,0,0,3685,3975,224499,1384881,d1fb1ca4d5de63f3698cdacf1fc9bb7a3f9e2f65
95,20210204,56,26455629.0,68125535.0,11914.0,88668.0,717128.0,17918.0,42472.0,5732.0,4059.0,2021-02-04T24:00:00Z,446134.0,717128.0,317829099,2021-02-04T24:00:00Z,,0,0,5212,3402,217496,1663995,5618b9bae5c5ac569889ac886ee0655b94908618
